ManagementStage,SpeciesRichness,AverageC,SpeciesC,AvgOverSppC,TotalCover
0years,1,0,0,0,2.25
0years,1,0,0,0,1.75
0years,1,0,0,0,2.25
0years,1,0,0,0,2
0years,1,0,0,0,2.25
0years,1,0,0,0,1.75
0years,1,0,0,0,1.75
0years,1,0,0,0,2
0years,1,0,0,0,2.25
0years,1,0,0,0,1.75
0years,1,0,0,0,1.75
0years,1,0,0,0,2
0years,2,0.32,0.5,0.64,2.25
0years,1,0,0,0,2.25
0years,1,0,0,0,2.25
0years,1,0,0,0,0.5
0years,1,0,0,0,0
0years,1,0,0,0,0.5
0years,1,0,0,0,0.5
0years,1,0,0,0,0.5
0years,1,0,0,0,0.5
10years,7,1.54,2.29,0.67,6.13
10years,7,1.6,1.86,0.86,6.78
10years,5,1.25,1.4,0.89,6.25
10years,7,2.47,2.71,0.91,7.33
10years,8,2.19,3,0.73,6.9
10years,9,2.16,2.44,0.88,6.83
10years,8,2.3,2.25,1.02,6.95
10years,6,1.05,1.83,0.57,5.88
10years,6,2.21,2.5,0.88,5.3
10years,7,1.07,2.29,0.47,7.6
10years,8,1.47,2.13,0.69,5.05
10years,11,1.71,2.82,0.61,7.23
10years,5,1.6,2,0.8,7.18
10years,5,1.89,2,0.95,5.98
10years,3,1.4,1.67,0.84,7.4
10years,6,1.96,2.33,0.84,6.25
10years,5,2.43,3,0.81,5.95
10years,3,2.5,3,0.83,5.15
10years,4,1.13,1.75,0.64,5.75
10years,6,2.9,3.67,0.79,7.18
10years,3,0.78,1.67,0.47,8.43
10years,5,1.74,2.6,0.67,7.05
10years,5,3.41,2.8,1.22,8.1
10years,7,5.24,4.43,1.18,5.75
10years,8,3.65,4,0.91,6.5
10years,6,2.95,3.17,0.93,4.38
10years,5,2.4,2.6,0.92,5.5
10years,7,1.48,2.29,0.65,3.5
10years,11,2.41,3.45,0.7,5.63
10years,5,2.71,2.2,1.23,2.88
10years,8,2.19,3,0.73,4.38
10years,7,1.72,2.71,0.63,4.63
10years,9,2.95,3.22,0.92,5.25
10years,6,1.69,2,0.84,3.13
10years,10,2.52,2.9,0.87,4.88
10years,9,2.09,2.78,0.75,3.88
10years,10,2.52,3.3,0.76,5.5
10years,7,1.39,2.43,0.57,5.25
10years,10,2.12,2.8,0.76,4.88
10years,6,2.78,2.67,1.04,4.75
10years,9,3.04,3.56,0.86,6
10years,7,1.5,1.86,0.81,4.75
10years,7,3.78,2.57,1.47,5.25
10years,6,3.8,2.17,1.76,4.5
10years,10,2.22,2.9,0.77,5.13
10years,6,1.81,1.83,0.99,3.75
10years,5,1.53,2.4,0.64,5.75
10years,8,3.46,4,0.87,7.13
10years,4,0.91,1.5,0.61,3.5
10years,4,0.96,1.5,0.64,4.5
10years,13,2.97,3.15,0.94,5.63
10years,6,1.56,2.83,0.55,6.38
10years,4,1.04,1.5,0.69,3.13
10years,4,1.25,1.75,0.71,7.25
10years,7,2.02,2.57,0.79,4.75
10years,5,1.69,2.6,0.65,7
10years,9,0.98,1.44,0.68,5.63
10years,5,1.8,2.8,0.64,5.88
10years,4,1.1,1.5,0.73,7.75
10years,11,2.1,2.91,0.72,4.75
20years,6,6,4.67,1.29,5.43
20years,10,3.73,4,0.93,6.9
20years,6,5.23,3.5,1.49,6.75
20years,7,6.47,4,1.62,6.6
20years,7,4.68,4.14,1.13,6.38
20years,7,3.43,3,1.14,7.38
20years,8,4.92,2.75,1.79,6.08
20years,6,6.18,3.5,1.77,5.4
20years,7,3.13,2.71,1.15,6.98
20years,9,2.47,4.67,0.53,6.68
20years,5,3.83,3.8,1.01,7.58
20years,8,4.32,3.63,1.19,6.58
20years,7,2.46,4,0.62,7.23
20years,8,3.97,4.38,0.91,7.55
20years,5,4.91,4.8,1.02,6.78
20years,5,3.79,3.2,1.18,7.8
20years,6,2.5,2.83,0.88,6.95
20years,5,2.25,2.2,1.02,6.35
20years,5,1.1,2.2,0.5,5.03
20years,7,5.22,4.86,1.07,7.18
20years,7,2.54,1.71,1.48,7.45
20years,7,2.79,4.14,0.67,5.68
20years,4,1.3,2.5,0.52,5.53
20years,6,3.82,3.5,1.09,6.85
20years,6,5.68,6.33,0.9,7.35
20years,10,4.25,4.4,0.97,6.43
20years,10,4.9,5.2,0.94,7.13
20years,7,5.02,5,1,5.7
20years,7,3.35,3.57,0.94,5.73
20years,7,4.67,4.29,1.09,6.55
20years,8,4.47,3.5,1.28,5.9
20years,10,5.05,4.9,1.03,5.53
20years,12,4.73,4.08,1.16,6.98
20years,8,4.38,4.88,0.9,6.03
20years,10,5.48,5.2,1.05,6.8
20years,8,4.34,4.25,1.02,6.3
20years,7,3.58,4.14,0.86,5.63
20years,7,6.94,6,1.16,6.9
20years,10,4.22,4.5,0.94,7.38
20years,7,4.25,4.29,0.99,6.33
20years,5,5.5,5.6,0.98,7.13
20years,11,4.73,5.27,0.9,7.03
20years,12,4.83,4.83,1,7.08
20years,6,4.88,4.17,1.17,7.68
20years,9,4.94,4.78,1.03,6.93
20years,8,3.84,4.38,0.88,6
20years,7,6.13,6,1.02,7.13
20years,8,4.76,5,0.95,7.18
20years,8,5.08,5.13,0.99,6.63
20years,10,5.23,5.2,1.01,6.88
20years,9,5.57,5.33,1.04,7.88
20years,10,6.74,5.3,1.27,7.5
20years,7,6.95,5.43,1.28,7.63
20years,7,4.59,4.43,1.04,6.88
20years,7,8.23,6.14,1.34,5.63
20years,6,7.62,6.33,1.2,6
20years,8,4.67,4.88,0.96,6.75
20years,8,6.76,6,1.13,6.75
20years,10,5.9,5.5,1.07,7.75
20years,10,5.19,4.8,1.08,7.63